GSM146300	GSM146307	GSM146308	GSM146309	GSM146310	GSM146311	GSM146312	GSM146313	GSM146314	GSM146315	GSM146334	GSM146335
DDR1	6.29553937040683	6.20163386116965	5.4966540825935	5.2364926183813	6.49904859773388	6.16188768237689	6.5461227588578	6.53060141451683	6.00786824333334	6.55151601762801	5.80606622608903	5.74416109557041
RFC2	5.64961545906341	5.97727992349992	5.51727569320958	5.62205181945638	5.12101540096137	5.34340782229781	5.36106648879432	5.60288440871842	5.4643415327611	5.28355142317431	5.93191939010004	5.98754825895374
HSPA6	4.01792190799726	4.09169983413681	5.87282875953489	5.00225245173138	3.8972404255748	4.58195375084882	3.86294724802092	4.56376827845203	4.17392693199981	4.42290574261218	5.14771372235215	5.36806987653208
PAX8	1.4594316186373	2.03562390973072	2.65535182861255	3.14567745519564	2.54843662469604	1.74416109557041	3.02680005934372	2.94485844580754	2.70043971814109	2.10433665981474	2.12101540096137	3.88752527074159
GUCA1A	2.37851162325373	1.86789646399265	3.35755200461808	3.27052894238072	2.84799690655495	2.26303440583379	2.37851162325373	2.43295940727611	1.67807190511264	2.65535182861255	2.8972404255748	2.59693514238723
UBA7	6.36194377373524	6.27332938656167	7.02956331443266	6.62643913669732	6.57893871309339	6.5352753766208	6.11582397743624	6.20847824221171	6.77214959078454	6.25455625190949	6.60362634498619	6.95826269732954
THRA	3.09592441999854	3.64385618977472	4.56985560833095	2.88752527074159	4.20554891117303	3.85798099512757	4.18189764310839	4.36806987653208	4.00898878322726	3.01792190799726	3.67807190511264	4.27052894238072
PTPN21	-0.321928094887362	-0.736965594166206	0.925999418556223	0.137503523749935	0.485426827170242	-0.736965594166206	0.678071905112638	1.67807190511264	1.84799690655495	0.432959407276106	0.20163386116965	0.432959407276106
CCL5	5.05961485629722	4.40599235967584	3.66106547980695	6.43212427264156	8.64709860726341	10.5640541965453	4.34695688937888	8.36457243229586	3.95419631038688	3.61470984411521	3.57288966842058	4.44625622988956
CYP2E1	2.57288966842058	3.19377174339668	4.3327079336406	4.28909670241999	2.4594316186373	1.29278174922785	2.74416109557041	1.63226821549951	1.43295940727611	2.15380533607904	3.73335434061383	3.53605290024021
EPHB3	1.4594316186373	1.72246602447109	3.18586654531133	2.78659636189081	3.07895134139482	2.70043971814109	3.30012372456901	2.65535182861255	2	2.37851162325373	1.40599235967584	2.37851162325373
