GSM591473	GSM591474	GSM591475	GSM591476	GSM591477	GSM591478	GSM591479	GSM591480	GSM591481	GSM591482	GSM591483	GSM591484	GSM591485	GSM591486	GSM591487	GSM591488	GSM591489	GSM591490
COPG1	7.772495	7.49399	7.88366	7.73983	7.990635	7.593205	7.455955	8.02015	7.65088	7.71264	7.742985	7.728	7.86747	7.681195	7.568055	7.502815	7.683665	7.61708
ATP6V0D1	8.98373	8.95916	8.99671	9.11886	9.16485	8.97764	9.11603	9.19481	9.15069	9.16931	9.05876	8.9357	9.08075	9.13048	8.96539	8.9923	9.12318	9.038
GOLGA7	9.71904	9.76304	9.73307	9.5661	9.76576	9.80018	9.69295	9.67824	9.81501	9.67044	9.66142	9.81356	9.70098	9.76543	9.68878	9.77099	9.80659	9.75765
PSPH	6.92269	7.10195	6.68035	7.23688	7.36013	6.84401	6.43834	7.19046	6.8249	6.51763	6.53573	6.94575	7.03291	6.75133	6.41565	6.5919	6.8597	6.47976
TRAPPC4	5.435665	5.4717	5.660365	5.40825	5.38381	5.3999	5.62149	5.42851	5.372165	5.33454	5.49138	5.48067	5.273445	5.512815	5.408645	5.47596	5.430705	5.47967
DPM2	6.55982	6.19693	6.46458	6.14576	6.60771	6.71214	6.58628	6.66105	6.29537	6.56025	6.83727	6.5947	6.3426	6.59884	6.42272	6.53205	6.52872	6.78638
PSMB5	10.2207	9.9607	9.97612	10.2084	10.2434	9.99478	10.0763	10.1627	10.2664	10.0561	10.1687	10.1284	10.0982	10.2744	10.0658	10.2327	10.2821	10.1263
DHRS1	10.407	9.94	10.2699	10.365	10.2729	10.3011	10.3338	10.1576	10.4611	10.5059	10.5703	10.5171	10.4641	10.4123	10.3876	10.4505	10.3906	10.4635
PPM1A	4.798685	5.02422	4.89781	5.22154	5.054905	5.01882	5.130775	4.972935	5.222095	4.95324	4.99023	5.285985	4.994135	5.314335	5.091975	5.265815	5.098285	5.28635
PSENEN	10.1856	10.004	10.1487	10.0696	10.2314	10.169	10.1327	10.2641	10.2712	10.2454	10.1998	10.1946	10.2294	10.0993	10.0955	10.1889	10.1753	10.0812
