S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
G1	8.8492487027644	9.58796498888268	8.87713072876566	9.0824151966984	9.37438746400546	8.48864353985378	8.43087066354815	9.90583824675904	9.26115467261557	9.6386169183243	10.0590740146636	9.60862445944877	9.25856603388993	9.17442639367725	9.32373033752135	8.70908381255034	9.2053045315602	9.40620500541885	10.2104278304015	9.99265514938683
G2	9.13903966768306	9.54641219511935	9.70735913208088	9.51471405413849	9.07788386443832	9.35391870347623	9.5349836971965	8.81008958482602	8.35380846047454	9.17592374206376	9.41204051455165	8.98113911895555	9.31344994096306	9.71209705108755	9.92777796208234	9.28239346898991	9.30720080914081	9.37959497168707	8.88172579064223	9.34950239929786
G3	9.8811139606751	11.3570845924818	10.2705873404475	9.64385618977473	10.3775901370322	11.1239273881726	10.553581299271	9.43348112103469	9.79303424690558	9.71776209124972	10.1369911120802	10.4682676522086	9.6000057963472	9.9607983811335	10.0279059965699	9.27146302790437	10.4614794472862	9.32676652603071	11.0274568118145	11.0572810271969
G4	7.02901108665907	7.22496636500027	7.64313466185726	7.61618123133188	7.32508054355428	7.60177078840771	105	105	7.83383884355829	7.50660511556825	7.54264498688628	8.20969704353526	7.40981519582048	7.71630503984442	7.63299519714296	7.73538678289534	7.8369971089196	7.66249036391378	8.30583375751525	7.60473853445992
G5	10.3339379957583	10.2403143293337	10.382083590142	9.96708212625773	10.4157417682901	10.1269625347419	10.0744090993437	9.19869058566892	9.80445373565528	10.3110671022556	10.2582126775488	10.765534746363	10.1714270266075	10.7380922596205	10.2592724870376	9.50700173276412	10.2022462885002	10.2808867377398	10.5607149544745	10.1706762094993
G6	5.81506301719287	4.91169158187234	6.15987133677839	5.74953426766926	5.94953493301701	3.56071495447448	4.93073733756289	5.97269265400426	5.38887833881199	4.82781902461732	6.2364926183813	5.5453506448223	4.46597446450407	5.28169825009883	4.53605290024021	5.20554891117303	4.8073549220576	5.49185309632967	4.96347412397489	4.98641093525204
G7	8.43212427264156	11.0389189892923	7.66426949231891	9.33091687811462	11.4038641766068	6.96116025813664	7.71183901995903	8.79814774561039	8.18982455888002	6.86108690599539	9.0728025345442	8.40917875950067	10.7011764835774	9.19216950193247	7.62643913669732	7.4655664048094	10.3623274182105	8.63244999525669	9.4157417682901	8.95041008927126
G8	5.5188498287077	5.03562390973072	4.96347412397489	4.36457243229586	5.4178525148859	4.11270013274936	5.37155886261196	7.5980525001616	6.80606622608903	6.16289479937478	6.06824086131282	6.31288295528436	5.52512925120397	5.5453506448223	4.21334728173344	5.61323695471633	4.98185265328974	4.5909612413426	6.25550073314839	5.99774402605963
G9	6.68790052248075	7.31876874268273	6.94485844580754	7.2465030982801	7.6854496384339	7.16591193893569	8.03011533090807	8.94515117078387	7.91079261307751	7.73741636593706	7.60917873814198	8.24412594328373	7.7279204545632	8.1405741777099	8.02707662314038	7.09275714091985	7.27146302790437	8.06204613772049	7.36018867006271	6.2667865406949
G10	9.82041832779597	9.77421052516675	9.99265514938683	9.65365122316224	9.53284291096128	9.46505616783118	9.44956137461324	10.1997336826073	10.2539065621988	9.68132627116341	9.89246692327728	9.6601742120694	9.65705043180037	9.92325319436941	9.7623820387104	9.16037568743582	9.6988782658369	9.56033283421244	9.92407018558534	9.78488018099573
