,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5
A0A0H2UHH9,13479.62545,23980.31179,18878.65221,22038.00205,15204.37452,20781.57188,17132.87765,24629.79896,25881.27584,26656.75903,6509.828841,17434.21732,29979.13258,9325.564748,11310.28081
E9PT29,3422.16687,1366.585553,1476.085756,4538.304771,1345.82862,5023.00436,2546.436667,1815.291566,4023.733853,5290.858509,12193.61828,3061.286519,4142.390505,3064.422078,5093.839988
Q6IMX5,425046.7833,452393.2392,382342.0251,515444.0104,500541.6568,339418.1833,297917.3273,292573.6576,388925.8307,673498.685,336712.972,356815.759,329631.8869,393514.0434,462206.9298
A0A096MJ77,11835.54679,22625.94013,20733.25588,32062.62622,24230.95887,31723.25187,26189.16933,16697.40596,36624.37001,30135.74134,18945.46255,13125.93523,33872.03826,24756.80119,16000.92771
A0A096MJM1,1442.561801,5974.531216,3191.642012,5031.376226,4628.837294,6203.491583,3459.249021,4054.904277,9466.969516,3511.271072,8449.513639,6387.01478,4434.007788,8916.005128,11157.19887
A0A096MJY6,22593.77249,34226.84972,33301.78674,46940.07646,43823.63025,21996.62012,23579.28125,17662.79507,35993.78232,51215.40987,13661.95207,16539.56669,20180.38771,15243.9707,21524.24758
A0A096MK30,167206.8678,178454.0196,182115.0563,231380.8476,207470.2366,219537.3116,226180.3234,162396.9001,288901.5762,263385.0294,138583.1607,168031.2989,175273.3237,181465.8977,158285.1726
Q9QWQ2,7383.36891,11374.32487,10317.46977,8873.357584,15140.09121,88.48848043,128.2740357,155.0805037,143.318085,105.4970722,1575.626219,1878.180616,1571.097587,2294.3899,3606.471175
A0A096MK55,2506.791827,2489.29288,2763.965945,2914.959538,1704.606361,1299.077258,2156.100766,1851.071727,2933.591788,3177.863088,1346.045915,2025.434351,2619.506443,2975.100355,3041.073107
A0A096MKG5,6594.510858,13079.13235,6172.031588,13675.74155,9139.217494,5898.688534,5485.65351,6062.823604,10128.13527,13703.53793,33.58829838,24.59111576,37.36496135,2839.568451,55.66040321
A0A096MKH2,1885.285136,4674.323014,3316.261164,5566.655854,619.9930966,2733.56702,5005.777302,3893.961091,4151.957882,2358.072471,5918.909219,4561.644417,5184.53801,6972.617794,11430.11767
F1LST1,179173.5342,225888.4187,181291.4974,218481.024,157521.5616,165938.6114,153470.5974,150281.1544,253906.6774,244997.6353,122243.9174,146609.468,173528.557,132844.1653,151125.8862
Q8SEZ2,297855.463,417264.0458,450333.5189,435181.7389,216601.7622,375145.0982,623839.0729,421634.2542,630315.886,630841.7833,465653.781,189999.7793,421689.3726,270208.3061,344743.606
Q8SEZ0,120132.2717,111557.3054,100946.6196,113954.6223,102759.8802,115034.0036,135567.5234,148350.3762,198526.4006,217380.1533,108835.48,58842.92385,98621.39933,122874.622,67012.77595
A0A0K1W396,30067.05196,38217.48043,77874.201,68834.91198,72618.15413,21354.1186,24615.85377,16178.93126,29613.15902,46091.5531,1651.50917,24616.3144,13817.87966,17506.65287,5827.860123
A0A097BVJ5,3.093197944,18.25534515,12.02629863,17.56368393,227.2332325,59.81052984,132.1259851,120.2101933,90.12130887,119.4203002,4651.189089,2502.386121,3258.281826,6085.665241,4347.758844
A0A097PIG6,1849.64202,1093.428247,1745.434218,2000.39989,2564.958697,1104.911059,1442.920918,1695.934369,2666.407429,1056.632014,872.4276717,272.9654723,957.3776582,600.4627951,557.7903573
A0A0A0MXU4,9455.593063,3145.304179,9462.628353,10994.89267,7494.224276,2597.529928,12658.85507,2015.93048,3850.729938,14907.08848,4290.993038,1505.433931,3041.672678,3399.614658,3215.091269
A0A0A0MXU8,24063.91706,18397.30984,29455.3196,33492.06613,15784.02309,36008.39967,34186.44105,24219.33982,40068.81937,42718.4356,1137.812156,93428.27209,68651.80406,53991.13988,58795.05945
A0A0A0MXV4,498.0937533,697.3330342,460.0310887,125.8370563,317.432453,67.88157469,82.06640724,118.811488,119.0014506,67.75717588,1995.072897,2877.280363,2383.486061,991.2959411,2011.790394
B0BNK6,255040.9143,378356.5378,309600.7031,443430.5048,317070.5196,283650.0515,287357.0577,238871.9196,399614.5638,458679.1368,379392.834,259712.2446,277934.0545,400620.7112,369499.5832
A0A0A0MXW3,38393.41131,34464.27855,55519.36396,47262.7575,32954.80733,44508.74047,45375.23876,25350.80285,53112.0637,40417.1993,39346.07027,67110.99892,67742.95448,73067.32222,85849.58514
A0A0A0MXZ0,3608.2496,983.3891223,3550.752018,4739.108815,5580.010392,3447.314174,4722.989544,3868.667446,5030.703577,1355.187222,6399.781203,2396.819321,3202.684925,8546.862576,4020.256279
A0A0A0MXZ3,24179.51634,15624.64336,17405.8224,25976.19428,14901.63862,16286.9761,14520.49543,20760.14137,25581.61077,25281.83982,40872.28749,18600.7285,26849.21172,34860.39451,23644.2004
A0A0A0MXZ8,21530.90132,24229.15547,21930.92763,34339.19656,21612.37582,14502.71234,18208.85789,13945.70947,33256.02606,32159.74416,1258.927709,2148.772169,3462.604679,2052.649096,1656.159962
A0A0A0MY00,7602.258292,22199.59556,29345.51174,16407.77432,6775.569923,9595.466517,11613.80242,8443.216604,19824.10054,23904.93564,85586.86161,41405.77805,80668.81511,63033.78516,71429.73092
A0A0A0MY09,69520.12334,114941.8077,78378.55104,97249.38801,75832.31923,135112.6962,113718.6898,77087.10765,130697.4531,149077.5014,96621.3461,86858.71539,136333.0466,121547.5949,115097.5121
A0A0A0MY37,7356.074632,6729.052652,5382.181107,8544.000397,8095.300622,8126.415742,8325.503054,6472.832682,9206.036685,9523.862923,21050.51395,11847.65373,14333.45544,17939.11549,17648.49136
A0A0A0MY48,1060.809934,1234.46946,3722.358712,2113.449511,2068.277977,1942.661409,1998.170612,1517.348639,3354.549847,3182.627003,5639.96976,1185.155838,1786.62609,1522.174137,2605.562742
Q95938,100271.6729,102431.1347,146235.9771,131008.5005,71590.72016,56288.62884,43676.21758,88883.30739,102728.7146,99883.44777,23228.7619,109617.8854,9435.766059,15248.0124,26475.92592
Q8SEZ1,20383.47142,29740.24388,33557.79227,35939.24942,26045.72593,13510.43683,21527.58598,20169.20623,27544.72267,29671.25948,19577.78394,9561.48705,8717.10167,23402.82943,14909.25252
Q5UAJ8,7295.599088,6444.822948,12210.37848,17376.55923,8202.988889,457.9124533,5627.820586,5966.059665,7057.417852,2868.804013,16303.34096,1346.515084,2891.20759,11136.923,2815.470546
Q9Z1J7,3385.399877,3468.230219,989.0368249,2835.884139,3797.05532,3998.083291,5535.536692,5203.199736,3380.031557,2873.3814,16203.69356,21398.8911,23839.9098,33195.21132,26600.69188
A0A0F7RQJ6,129439.0842,168386.124,115853.6748,159990.4501,126044.7207,141525.2195,154019.3124,117835.9792,194428.9397,152485.025,241461.7776,208756.6934,247111.7114,307519.9958,284879.2924
A0A0F7RQL3,228490.5424,269789.9225,217470.6331,547111.2596,269555.8191,177710.1718,285556.2748,227530.2854,414434.7335,457534.4736,52794.80621,530054.8714,447855.2641,498335.7085,231254.2274
A0A0G2JSG6,612087.4909,828432.5629,709729.0478,930211.5375,750081.7434,455372.4256,546170.9587,692514.786,683861.4787,777841.6878,598822.2777,399420.2616,801358.4778,637343.4766,473023.1734
A0A0G2JSH2,11906.72597,6685.105482,7166.239595,9659.660799,6846.995818,7533.049155,4186.495925,3179.97821,4908.866961,6992.370671,59.93658679,21.92961781,49.09464542,22.81075767,75.34985006
A0A0G2JSH9,207051.1571,269573.0403,293774.3264,304418.0309,251380.6769,235106.4182,188403.7897,143624.6952,287943.4634,359675.6904,126010.0031,218010.6901,233187.2384,258871.3186,269949.9382
A0A0G2JSI1,172403.4837,154146.1016,202020.9228,186880.5364,183745.8522,211988.0229,335180.0641,203420.3112,356553.8505,322497.2924,450992.4241,323870.3595,405554.4875,576812.1816,517486.5168
A0A0G2JSJ2,93817.37969,67895.51339,77197.47815,113576.3066,114759.4299,93422.96765,84871.24569,83000.95979,128985.0814,105031.1241,98182.00026,39793.64984,76264.8218,38793.64881,82942.5747
A0A0G2JSK1,397945.1741,450235.833,378983.9477,610586.6992,407775.9071,535570.6053,440468.4962,367675.9793,708255.981,708169.41,288933.5075,455778.8582,520400.5348,429498.7061,482818.8709
A0A0G2JSK5,36313.15942,40578.0709,36002.29395,40243.88863,42296.21504,45691.30967,43892.71059,41128.27627,51985.4318,60919.90464,24642.21667,47209.04916,49994.58092,64252.35975,60625.85751
A0A0G2JSL0,15174.01122,21453.63528,12608.75119,22192.29551,10815.52821,14889.12931,20619.21323,16680.3035,29692.662,26303.43523,21401.47797,11355.66909,10790.06413,17058.69704,19378.00794
A0A0G2JSL7,40297.05317,40233.91326,31539.75366,40959.72126,41083.07375,19266.71739,23337.84666,28491.35539,46268.69231,40992.83921,7554.152408,10785.10358,13857.15093,25392.02278,13146.49087
A0A0G2JSL8,4235.482736,1714.624249,518.8195387,2495.25165,1635.103477,3894.566837,3201.153439,1236.778206,3854.059555,2839.492693,6634.245681,4507.760385,8581.896276,12682.20222,7009.838198
A0A0G2JSM2,47956.57592,39259.65601,26947.61455,67988.52333,59118.6607,24176.0452,16833.57856,8252.389101,47157.4948,73212.13233,72.3086516,77.5265792,62.96419529,2110.309827,102.6290396
A0A0G2JSM7,14214.43015,29850.39715,27287.25282,43757.03204,28633.54091,22385.11909,21889.73788,19895.56679,29452.79404,26287.55552,52947.94082,27282.20732,22428.38786,35124.45268,27159.67288
A0A0G2JSP3,711.5034275,915.6990779,75.44092219,922.6158319,1619.93921,2244.674592,2542.994731,1597.640211,3027.50043,2129.933798,2793.42445,2065.603336,1833.68817,2135.637854,1108.556175
A0A0G2JSP8,11592.57422,7029.263139,128570.957,5461.395081,13946.7294,7788.300884,675518.0494,256545.9662,5909.789018,3391.445334,48386.14131,35370.66895,10143.7711,56750.27836,1497496.951
A0A0G2JSR0,240398.3388,175725.871,269903.8854,248449.5616,220502.7146,217026.4341,247560.2551,212853.6706,294296.9062,281825.356,283269.7249,247363.8208,232070.8121,273333.8927,371703.0354
A0A0G2JXI4,5150.322611,6674.261378,4510.804672,7331.090592,1381.541562,6962.168029,5794.430416,4236.460444,3512.740376,8983.290745,1303.109604,1695.882741,4294.875264,2908.277464,2020.449577
A0A0G2JSR7,8028.798235,6925.388028,10200.63932,13323.3887,7824.981096,7841.599774,8078.082482,6260.852136,12493.51863,9784.555018,12262.49221,4079.909464,14392.36236,13559.2526,14700.50443
A0A0G2JSS8,1056609.542,947204.052,1173284.199,1458518.282,896230.1054,975244.841,926230.9216,893513.7484,1254108.451,1877380.065,882685.4909,1005835.248,901051.422,1115847.877,1224191.581
A0A0G2JSS9,138965.3212,136213.3761,134214.5702,195025.4509,144302.2774,146068.1174,161032.8879,161325.7458,188204.6043,199369.9025,25498.74472,59301.71904,55545.85657,92110.49728,59831.06849
A0A0G2K611,3078.098458,1277.778033,2702.869366,5275.872024,2596.935521,1533.883875,2024.159759,1162.967579,2588.739148,3351.547534,4778.239532,7962.53699,11150.79887,15840.79606,29798.40338
B0BMV1,14666.12364,6285.585819,12464.46876,19347.50983,10128.19137,14133.36766,6862.928168,11132.35409,19362.03197,17519.96432,18302.88334,15338.88991,13570.47061,18958.97284,22762.04643
A0A0G2JSU4,72351.23537,122932.201,105064.4143,149419.8644,104397.1814,87747.46822,93535.95439,66173.03502,135664.6902,154344.2757,94936.13268,97445.17043,87473.96658,92986.20041,120602.2765
M0R3X6,5569.962979,7086.908118,11469.81387,12465.87311,5051.678564,11166.95109,9081.732102,5552.000002,12726.59145,11766.21193,9034.20943,14150.41514,9708.981953,14079.28553,16115.3526
M0RBK1,3874.234988,1731.803597,1174.43335,6018.186758,1371.761714,2551.30979,1708.650023,1531.255638,6075.522133,2300.640808,2256.720601,1954.711559,4843.831623,4255.378329,2594.197565
A0A0G2JSV6,29041.64352,51335.994,28031.00953,24018.596,33453.68971,28672.72299,36940.99035,31933.0013,67303.6843,47764.21709,31978.02404,31792.55452,36086.37732,84256.11379,52795.48469
Q63781,20389.35842,11906.25676,19143.5956,22180.42678,16330.15644,22387.61747,27902.65662,16028.15954,22151.43119,19606.82438,10686.45131,18591.94306,22542.27457,13956.68709,32832.98209
D3ZL24,7046.739519,5916.886237,6105.636131,7233.544494,6159.658966,5268.678955,6934.759951,2445.967449,7065.571987,303.1637345,5419.86623,2210.416673,5865.44587,4779.924505,5967.025512
